playerId,year,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced
shaka-toney-1,2017,Penn State,Big Ten,FR,DE,9,8,9,17,6.0,3.5,0,0,,0,0,0,,,2
shaka-toney-1,2018,Penn State,Big Ten,SO,DE,10,15,8,23,7.0,5.0,0,0,,0,2,0,,,1
shaka-toney-1,2019,Penn State,Big Ten,SR,DE,13,13,27,40,8.0,6.5,0,0,,0,1,1,,,0
shaka-toney-1,2020,Penn State,Big Ten,SR,DE,8,21,10,31,7.5,5.0,0,0,,0,1,0,,,1
khyiris-tonga-1,2017,Brigham Young,Ind,FR,DL,11,9,10,19,4.0,2.0,0,0,,0,3,0,,,1
khyiris-tonga-1,2018,Brigham Young,Ind,SO,DL,12,20,10,30,4.5,2.0,0,0,,0,2,0,,,0
khyiris-tonga-1,2019,Brigham Young,Ind,JR,DL,13,28,17,45,4.0,1.0,0,0,,0,2,0,,,0
khyiris-tonga-1,2020,Brigham Young,Ind,SR,DL,11,11,25,36,3.5,3.5,0,0,,0,5,0,,,1
reggie-tongue-1,1992,Oregon State,Pac-10,,DB,11,,,,,,1,28,28.0,0,,,,,
reggie-tongue-1,1993,Oregon State,Pac-10,,DB,11,,,,,,3,35,11.7,1,,,,,
reggie-tongue-1,1994,Oregon State,Pac-10,,DB,11,,,,,,5,150,30.0,3,,,,,
reggie-tongue-1,1995,Oregon State,Pac-10,,DB,9,,,,,,,,,,,,,,
casey-toohill-1,2015,Stanford,Pac-12,FR,LB,,,,,,,,,,,,,,,
casey-toohill-1,2016,Stanford,Pac-12,SO,LB,11,11,9,20,3.0,3.0,0,0,,0,0,0,,,0
casey-toohill-1,2017,Stanford,Pac-12,JR,LB,11,10,7,17,3.0,1.0,1,2,2.0,0,0,1,,,0
casey-toohill-1,2018,Stanford,Pac-12,SR,LB,7,13,17,30,4.0,2.0,0,0,,0,3,0,,,0
casey-toohill-1,2019,Stanford,Pac-12,SR,LB,12,37,20,57,11.5,8.0,0,0,,0,1,0,,,1
korey-toomer-1,2009,Idaho,WAC,JR,LB,12,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0
korey-toomer-1,2010,Idaho,WAC,SR,LB,1,1,0,1,0.0,0.0,0,0,,0,0,0,,,0
korey-toomer-1,2011,Idaho,WAC,SR,LB,12,38,30,68,10.5,4.0,1,19,19.0,0,3,1,,,0
spencer-toone-1,2004,Utah,MWC,JR,LB,12,,,,,,,,,,,,,,
spencer-toone-1,2005,Utah,MWC,SR,LB,12,52,61,113,5.0,2.5,,,,,,,,,
leigh-torrence-1,2001,Stanford,Pac-10,SO,DB,9,,,,,,,,,,,,,,
leigh-torrence-1,2002,Stanford,Pac-10,SO,DB,11,,,,,,3,55,18.3,0,,,,,
