playerId,year,school_name,conf_abbr,class,pos,g,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
reggie-barrett-1,1987,UTEP,WAC,,WR,2,2,25,12.5,0,,,,,2,25,12.5,0
reggie-barrett-1,1988,UTEP,WAC,,WR,13,59,900,15.3,7,,,,,59,900,15.3,7
reggie-barrett-1,1989,UTEP,WAC,,WR,12,58,1042,18.0,10,,,,,58,1042,18.0,10
reggie-barrett-1,1990,UTEP,WAC,,WR,11,43,710,16.5,3,4,22,5.5,2,47,732,15.6,5
steve-barrios-1,1969,Tulane,Ind,,RB,10,23,353,15.3,1,,,,,23,353,15.3,1
steve-barrios-1,1970,Tulane,Ind,,WR,12,22,536,24.4,3,,,,,22,536,24.4,3
steve-barrios-1,1971,Tulane,Ind,,WR,7,17,339,19.9,4,1,-5,-5.0,0,18,334,18.6,4
bill-barry-1,1971,Ole Miss,SEC,,WR,12,27,320,11.9,3,,,,,27,320,11.9,3
bill-barry-1,1972,Ole Miss,SEC,,WR,10,17,184,10.8,0,,,,,17,184,10.8,0
rich-bartlewski-1,1987,Fresno State,PCAA,,TE,11,7,113,16.1,0,,,,,7,113,16.1,0
rich-bartlewski-1,1988,Fresno State,Big West,,TE,12,2,22,11.0,0,,,,,2,22,11.0,0
rich-bartlewski-1,1989,Fresno State,Big West,,TE,12,8,89,11.1,2,,,,,8,89,11.1,2
mike-bartoszek-1,1972,Ohio State,Big Ten,,WR,11,6,90,15.0,1,,,,,6,90,15.0,1
mike-bartoszek-1,1973,Ohio State,Big Ten,,WR,11,1,15,15.0,0,,,,,1,15,15.0,0
mike-bartoszek-1,1974,Ohio State,Big Ten,,TE,12,15,240,16.0,2,,,,,15,240,16.0,2
hank-baskett-1,2002,New Mexico,MWC,FR,WR,6,2,21,10.5,2,,,,,2,21,10.5,2
hank-baskett-1,2003,New Mexico,MWC,SO,WR,13,17,288,16.9,3,,,,,17,288,16.9,3
hank-baskett-1,2004,New Mexico,MWC,JR,WR,12,54,908,16.8,3,1,2,2.0,0,55,910,16.5,3
hank-baskett-1,2005,New Mexico,MWC,SR,WR,11,67,1071,16.0,9,,,,,67,1071,16.0,9
don-bass-1,1974,Houston,Ind,,TE,11,8,198,24.8,3,,,,,8,198,24.8,3
don-bass-1,1975,Houston,Ind,,TE,10,38,646,17.0,2,16,95,5.9,1,54,741,13.7,3
don-bass-1,1976,Houston,SWC,,WR,11,17,397,23.4,4,,,,,17,397,23.4,4
don-bass-1,1977,Houston,SWC,,TE,11,42,580,13.8,7,9,50,5.6,0,51,630,12.4,7
miller-bassler-1,1972,Houston,Ind,,TE,11,8,84,10.5,2,,,,,8,84,10.5,2
miller-bassler-1,1973,Houston,Ind,,TE,11,10,195,19.5,2,,,,,10,195,19.5,2
miller-bassler-1,1974,Houston,Ind,,TE,11,5,54,10.8,0,,,,,5,54,10.8,0
rashod-bateman-1,2018,Minnesota,Big Ten,FR,WR,13,51,704,13.8,6,0,0,,0,51,704,13.8,6
rashod-bateman-1,2019,Minnesota,Big Ten,SO,WR,13,60,1219,20.3,11,0,0,,0,60,1219,20.3,11
rashod-bateman-1,2020,Minnesota,Big Ten,JR,WR,5,36,472,13.1,2,0,0,,0,36,472,13.1,2
dwayne-bates-1,1995,Northwestern,Big Ten,,WR,12,49,889,18.1,5,4,16,4.0,0,53,905,17.1,5
dwayne-bates-1,1996,Northwestern,Big Ten,,WR,12,75,1196,15.9,12,2,14,7.0,0,77,1210,15.7,12
dwayne-bates-1,1997,Northwestern,Big Ten,,WR,1,3,40,13.3,0,,,,,3,40,13.3,0
dwayne-bates-1,1998,Northwestern,Big Ten,,WR,12,83,1245,15.0,9,7,-18,-2.6,0,90,1227,13.6,9
john-bates-1,2017,Boise State,MWC,FR,TE,2,3,34,11.3,0,0,0,,0,3,34,11.3,0
john-bates-1,2018,Boise State,MWC,SO,TE,7,10,155,15.5,1,0,0,,0,10,155,15.5,1
john-bates-1,2019,Boise State,MWC,JR,TE,11,22,273,12.4,1,0,0,,0,22,273,12.4,1
john-bates-1,2020,Boise State,MWC,SR,TE,3,12,117,9.8,0,0,0,,0,12,117,9.8,0
michael-batiste-1,2005,Tulane,CUSA,FR,WR,3,2,16,8.0,0,,,,,2,16,8.0,0
michael-batiste-1,2006,Tulane,CUSA,SO,WR,11,12,132,11.0,1,,,,,12,132,11.0,1
michael-batiste-1,2007,Tulane,CUSA,JR,WR,12,13,215,16.5,0,,,,,13,215,16.5,0
