player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_yds_per_g,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
HoomMi00,TE,89,57,93,57,646,10.812500000000002,8,0.65,7.3625,6.6375,1,0,0,0.0,0.0,-0.808756090449927,-0.5442776510495358,-0.4103049539174282,-0.8918958986927144,1
HoopAu00,TE,81,50,377,280,2862,10.583333333333334,21,3.4,34.65,7.666666666666668,0,0,0,0.0,0.0,1.483371286703567,-1.1360954870941116,0.07023444091582091,-0.014885428182975243,3
HopkDe00,WR,134,134,1257,782,10495,13.622222222222225,67,5.777777777777778,77.44444444444444,8.5,4,12,0,0.3333333333333333,0.09999999999999999,7.8527486195282,-2.7538970609120135,-0.5955487398902858,0.3962595479042375,0
HousRo01,TE,71,28,179,110,1172,10.1,1,1.3666666666666665,14.449999999999998,5.5,1,1,0,0.16666666666666666,0.016666666666666666,-0.8606301269945904,-0.4239759251130134,-0.4398355574696044,-0.3012495443253995,1
HousTJ00,WR,146,92,983,627,7237,10.790909090909091,44,3.8272727272727276,44.19090909090909,6.627272727272726,23,142,1,2.7363636363636363,0.8636363636363636,5.441178908760993,0.015544103087062677,-1.3581354758179907,-0.0006384100900745258,0
HowaO.00,TE,50,42,178,118,1727,13.919999999999998,15,2.42,34.459999999999994,9.18,0,0,0,0.0,0.0,0.4480890143948124,-0.9367907752677466,1.3655282356251122,-0.4577528577326199,3
HowrKe00,WR,19,1,7,3,18,5.25,0,0.2,0.95,2.75,0,0,0,0.0,0.0,-2.8466743945273025,0.14954858267938595,-1.5762899960383165,0.1539834187409391,1
HubbPa00,WR,1,1,3,1,8,8.0,0,1.0,8.0,2.7,0,0,0,0.0,0.0,-2.5754972013929542,0.05923745354454682,-0.8876689169299518,0.2936529096917943,1
HuffJo00,WR,40,6,89,54,564,11.175,4,1.275,13.5,6.125000000000001,6,27,0,3.95,0.95,-1.1345884509362663,0.5393931606060066,0.45778909428039244,0.7069605639334366,1
HuntJa00,WR,12,3,11,5,35,7.0,0,0.4,2.9,3.2,1,9,0,9.0,0.8,-2.2522350867589624,1.2501334539510598,-0.5933313427235117,2.510464555532723,1
HuntJu00,WR,61,19,186,85,1349,11.6,13,1.1428571428571428,16.87142857142857,5.2,0,0,0,0.0,0.0,-0.7535443101945342,-0.5368267528510898,-0.2751968028308336,-0.3568703960424171,1
HursHa00,TE,52,18,175,119,1241,10.55,10,2.25,22.725,7.199999999999999,1,0,0,0.0,0.0,-0.4001922863239215,-0.5936796927225593,0.3419345615283587,-0.17264679793724888,3
IsabAn00,WR,31,3,48,30,413,10.566666666666666,3,0.7333333333333334,9.933333333333332,6.966666666666666,5,9,0,-0.7333333333333334,0.16666666666666666,-1.7532851593363066,-0.1534413025602791,0.3024289982812139,-0.7257502085971811,1
