player_id,position,games,gamestarts,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,Component_1,Component_2,kmeans_pca_cluster
AdamAn20,DT,121,74,10.0,3.0,10.5,278,214.0,64.0,33.0,20.0,2.4844695709938023,-0.8867686585747544,2
AdamMo00,DT,49,4,4.0,1.0,1.5,51,23.0,28.0,5.0,6.0,-1.3829549664948133,0.055097533204110205,0
AdamTi00,DT,2,0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,-2.5703664202734395,0.3748024899603284,0
AgimMc00,DT,14,0,2.0,0.0,0.5,10,3.0,7.0,0.0,1.0,-2.3254369895379154,0.2565172403272243,0
AlfoJa99,DT,36,3,1.0,0.0,3.5,18,13.0,5.0,5.0,6.0,-1.9381146501923268,0.29038400486715177,0
AlleBe00,DT,90,16,2.0,0.0,2.5,117,72.0,45.0,14.0,15.0,-0.4804891295219437,-0.5862650080550532,2
AluaTy99,DT,174,111,14.0,4.0,24.5,403,254.0,149.0,46.0,68.0,5.519173749906463,-0.8166439718858023,1
AndeTi20,DT,47,17,4.0,0.0,1.0,85,54.0,31.0,7.0,2.0,-1.217689630332875,-0.4203875506760159,0
ArmsAr01,DT,86,67,6.0,3.0,24.5,229,135.0,94.0,33.0,63.0,2.6482373701915383,0.7151723477740628,2
AskeMa20,DT,6,0,0.0,1.0,0.0,6,2.0,4.0,0.0,0.0,-2.385079084109039,0.5003338502257408,0
AtkiGe99,DT,161,134,6.0,8.0,75.5,384,228.0,156.0,100.0,172.0,9.001332374138322,3.9540747895502983,3
AustMa00,DT,28,0,0.0,0.0,0.0,23,16.0,7.0,2.0,0.0,-2.2144950223354654,0.0891063037996066,0
BallCh00,DT,32,2,0.0,0.0,1.0,29,16.0,13.0,3.0,7.0,-2.000892589758905,0.1560762453366251,0
BalmKe99,DT,46,11,2.0,0.0,0.0,62,39.0,23.0,5.0,2.0,-1.5725026255168681,-0.28979615508716955,0
BannJu20,DT,163,72,14.0,5.0,6.5,313,220.0,93.0,27.0,18.0,3.2303997400075595,-1.3223294465157982,1
BarmCh00,DL,6,0,0.0,0.0,0.0,13,10.0,3.0,1.0,2.0,-2.4304367639407394,0.3301036822212229,0
BashCa00,DL,2,0,0.0,0.0,1.5,5,3.0,2.0,1.0,2.0,-2.4718287521329354,0.45213564471353473,0
BellMa20,DT,86,21,6.0,3.0,6.5,187,131.0,56.0,16.0,4.0,0.5540319736388819,-0.4264177736290929,2
BennMi01,DT,16,0,1.0,0.0,0.5,16,12.0,4.0,2.0,2.0,-2.276805490333972,0.2647777303350968,0
BernRo20,DT,160,60,20.0,5.0,33.0,383,270.0,113.0,61.0,28.0,5.189604962737534,-0.22913485865528774,1
BillAn00,DT,53,37,0.0,0.0,3.5,81,49.0,32.0,14.0,12.0,-0.9133852427525145,-0.23723881744438544,0
BingRy20,DT,49,2,0.0,0.0,4.5,80,46.0,34.0,5.0,10.0,-1.3433868334647223,-0.08698441835173046,0
BishKe01,DT,5,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,-2.5535941804304247,0.3572706842041335,0
BlacAn00,DT,94,32,7.0,1.0,6.5,123,74.0,49.0,11.0,21.0,0.14463056307840788,-0.37347947926238595,2
BlacRo00,DT,21,1,1.0,1.0,1.0,23,16.0,7.0,1.0,4.0,-2.039854654474926,0.40449587839905565,0
BladWi20,DT,20,15,1.0,0.0,1.0,27,17.0,10.0,7.0,0.0,-1.9765488835640739,0.10690993473126209,0
BohaQu00,DT,6,1,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0,-2.530025854858877,0.33585336596328386,0
BoonAl20,DT,129,41,16.0,2.0,15.5,194,154.0,40.0,29.0,9.0,1.722247679169082,-0.5178237741045766,2
BracRo99,DT,39,7,0.0,1.0,0.0,39,24.0,15.0,4.0,0.0,-1.8062162633937686,0.06830762049514424,0
BranAl99,DT,146,86,14.0,4.0,10.5,284,185.0,99.0,30.0,36.0,3.273422414356684,-0.8981575949317252,1
BranCa00,DT,20,1,0.0,0.0,2.0,19,13.0,6.0,3.0,2.0,-2.1988891269631012,0.27498964702975753,0
BrocMi00,DT,146,144,9.0,2.0,29.0,419,262.0,157.0,51.0,63.0,5.425579609505709,-1.1387311646868348,1
BromJa00,DT,57,4,1.0,0.0,2.0,80,50.0,30.0,8.0,14.0,-1.226816289606885,-0.1402238076059158,0
BrouCo00,DT,11,0,1.0,0.0,0.0,9,4.0,5.0,0.0,0.0,-2.4176965839885067,0.2597935971121747,0
BrowDe05,DT,25,24,8.0,0.0,4.0,59,37.0,22.0,12.0,16.0,-1.0521176007502446,0.21360723760251576,0
BrowMa01,DT,97,88,1.0,1.0,11.5,274,143.0,131.0,23.0,24.0,1.9383543056644363,-1.368667424347229,2
BryaAn20,DT,15,6,0.0,0.0,0.0,19,7.0,12.0,0.0,0.0,-2.2972613299420064,0.12699196261169854,0
BryaRe99,DT,86,71,7.0,2.0,4.5,148,96.0,52.0,14.0,15.0,0.6137134086938557,-0.626098119985774,2
BryaTa00,DT,55,17,1.0,1.0,5.5,80,47.0,33.0,14.0,20.0,-0.7579221808659362,0.2468800555462936,0
BryaWe20,DT,29,9,0.0,0.0,1.5,44,33.0,11.0,5.0,0.0,-1.9056958478274741,-0.0005048610921813967,0
BuggIs00,DT,27,6,0.0,0.0,0.0,25,12.0,13.0,2.0,1.0,-2.1343824716727013,0.04486490821930121,0
BullJo00,DT,68,14,5.0,1.0,3.5,105,67.0,38.0,13.0,15.0,-0.494335820763681,-0.13606269555515377,2
BunkBr20,DT,130,101,9.0,1.0,8.5,242,171.0,71.0,28.0,15.0,2.0680551497844117,-1.5353483724302905,2
ButlVe00,DT,71,19,3.0,4.0,8.0,97,52.0,45.0,15.0,21.0,0.04552023369418484,0.6561664373251602,2
CarrRy00,DT,24,3,0.0,0.0,0.0,41,29.0,12.0,2.0,2.0,-2.066470048730391,0.03128157493348355,0
CarsLe20,DT,69,35,8.0,0.0,8.5,131,94.0,37.0,16.0,0.0,-0.15786123795847315,-0.6112405103806087,2
CartDa01,DT,35,4,3.0,1.0,1.0,30,18.0,12.0,4.0,1.0,-1.7758313159816936,0.20821756373297023,0
CaseJu00,DT,142,140,15.0,8.0,51.0,507,332.0,175.0,85.0,117.0,8.638505876030317,1.4945310491090809,3
ChapJo00,DT,29,15,0.0,1.0,0.0,36,25.0,11.0,3.0,1.0,-1.8480325999262148,0.12888672517888433,0
ChevRa20,DT,21,0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,-2.4452834204873763,0.23916267672740954,0
ClanKe20,DT,109,46,4.0,3.0,5.5,159,126.0,33.0,22.0,6.0,0.663614014526554,-0.4614309632277657,2
ClarKe01,DT,82,68,7.0,4.0,21.5,264,155.0,109.0,33.0,39.0,2.7291932765061024,0.20725143779592886,2
ClauJa20,DT,29,2,1.0,0.0,0.5,29,20.0,9.0,2.0,0.0,-2.098602661518548,0.04956830702389555,0
ClayZa00,DT,3,0,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0,-2.557353705495542,0.3631263687094025,0
CodySh20,DT,112,68,9.0,1.0,3.0,191,122.0,69.0,19.0,9.0,1.0151137943361213,-1.3499664016960837,2
CodyTe99,DT,57,21,2.0,0.0,0.0,87,45.0,42.0,4.0,0.0,-1.2439132908433606,-0.6556670694253863,0
CofiBa20,DT,138,129,25.0,4.0,19.5,311,208.0,103.0,44.0,56.0,4.802591483941683,-0.4968094529454293,1
CoheJo00,DT,7,0,0.0,0.0,1.0,9,6.0,3.0,1.0,1.0,-2.4338383315678014,0.3605014204731378,0
