,age,team,g,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,player_id,position,snaps_played,total_snaps,snap_played_percentage
285,22,SFO,10,8,42,20,265,13.3,3,9,52,2.0,26.5,47.6,6.3,2,5,0,0,9,2.5,0.5,0.2,22,12.3,270,3,1,3.0,DaviVe00,TE,,,
286,22,PHI,3,1,8,5,52,10.4,1,5,15,1.7,17.3,62.5,6.5,0,0,0,0,0,0.0,0.0,0.0,5,10.4,52,1,0,0.0,StewTo00,TE,,,
287,22,SEA,4,4,14,8,156,19.5,2,5,66,2.0,39.0,57.1,11.1,0,0,0,0,0,0.0,0.0,0.0,8,19.5,156,2,0,1.0,DissWi00,TE,,,
288,22,SEA,5,0,2,1,1,1.0,0,0,1,0.2,0.2,50.0,0.5,0,0,0,0,0,0.0,0.0,0.0,1,1.0,1,0,0,0.0,ParkCo02,TE,,,
289,22,CIN,5,0,1,1,4,4.0,0,1,4,0.2,0.8,100.0,4.0,0,0,0,0,0,0.0,0.0,0.0,1,4.0,4,0,0,0.0,UzomC.00,TE,,,
290,22,MIN,15,8,39,26,249,9.6,3,15,41,1.7,16.6,66.7,6.4,0,0,0,0,0,0.0,0.0,0.0,26,9.6,249,3,0,2.0,RudoKy00,TE,,,
291,22,NYJ,16,12,56,39,502,12.9,4,25,32,2.4,31.4,69.6,9.0,0,0,0,0,0,0.0,0.0,0.0,39,12.9,502,4,2,4.0,HernCh00,TE,,,
292,22,DET,15,8,15,5,49,9.8,0,3,13,0.3,3.3,33.3,3.3,0,0,0,0,0,0.0,0.0,0.0,5,9.8,49,0,0,0.0,OwenJo00,TE,,,
293,22,SFO,16,14,64,40,362,9.1,3,22,24,2.5,22.6,62.5,5.7,0,0,0,0,0,0.0,0.0,0.0,40,9.1,362,3,1,5.0,JohnEr00,TE,,,
294,22,SEA,3,0,1,1,3,3.0,0,0,3,0.3,1.0,100.0,3.0,0,0,0,0,0,0.0,0.0,0.0,1,3.0,3,0,0,0.0,MorrCa00,TE,,,
295,22,GNB,13,3,33,21,238,11.3,1,13,23,1.6,18.3,63.6,7.2,0,0,0,0,0,0.0,0.0,0.0,21,11.3,238,1,1,2.0,QuarAn00,TE,,,
296,22,DAL,14,6,30,15,159,10.6,0,8,21,1.1,11.4,50.0,5.3,0,0,0,0,0,0.0,0.0,0.0,15,10.6,159,0,0,1.0,BennMa00,TE,,,
297,22,CLE,15,9,38,24,238,9.9,3,14,35,1.6,15.9,63.2,6.3,0,0,0,0,0,0.0,0.0,0.0,24,9.9,238,3,2,2.0,BryaHa00,TE,,,
