,age,team,g,gs,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,player_id,position,snaps_played,total_snaps,snap_played_percentage,def_targets,def_cmp,def_cmp_perc,def_cmp_yds,def_yds_per_cmp,def_yds_per_target,def_cmp_td,def_pass_rating,def_tgt_yds_per_att,def_air_yds,def_yac,blitzes,qb_hurry,qb_knockdown,pressures,tackles_missed,tackles_missed_pct
6815,24,BAL,11,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,AverAn00,DB,,,,4.0,1.0,25.0,18.0,18.0,4.5,0.0,45.8,23.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6816,24,HOU,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,1.0,0.0,0.0,0.0,ArmsCo00,DB,,,,4.0,3.0,75.0,85.0,28.3,21.3,0.0,116.7,19.8,54.0,31.0,0.0,0.0,0.0,0.0,1.0,20.0
6817,24,PIT,15,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,24.0,4.0,1.0,1.0,0.0,BrowCu01,DB,80.0,889.0,0.09,,,,,,,,,,,,,,,,,
6818,24,KAN,14,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8,7.0,1.0,0.0,0.0,0.0,BrowJa00,DB,,,,,,,,,,,,,,,,,,,,
6819,24,2TM,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.0,2.0,0.0,0.0,0.0,BurtBr00,DB,17.0,340.0,0.05,,,,,,,,,,,,,,,,,
6820,24,TAM,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,8.0,4.0,0.0,0.0,0.0,BlacAh00,DB,146.0,286.0,0.51,,,,,,,,,,,,,,,,,
6821,24,MIA,12,6,1,-2.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36,25.0,11.0,0.0,0.0,0.0,DaniTr20,DB,,,,,,,,,,,,,,,,,,,,
6822,24,KAN,14,14,5,137.0,0.0,62.0,9.0,3.0,1.0,2.0,45.0,1.0,0.0,46,42.0,4.0,2.0,0.0,0.0,PeteMa00,DB,,,,,,,,,,,,,,,,,,,,
6823,24,BUF,16,16,3,54.0,1.0,54.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,62,51.0,11.0,0.0,0.0,0.0,ClemNa99,DB,,,,,,,,,,,,,,,,,,,,
6824,24,SDG,14,11,2,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,63,57.0,6.0,1.0,0.0,0.0,CodyTa20,DB,,,,,,,,,,,,,,,,,,,,
6825,24,CAR,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7.0,1.0,0.0,0.0,0.0,CoopJa20,DB,,,,,,,,,,,,,,,,,,,,
6826,24,GNB,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,CombDe20,DB,,,,,,,,,,,,,,,,,,,,
6827,24,SDG,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,CarsRo20,DB,,,,,,,,,,,,,,,,,,,,
6828,24,BUF,14,14,3,61.0,0.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,46,38.0,8.0,3.0,0.0,0.0,GilmSt00,DB,837.0,940.0,0.89,,,,,,,,,,,,,,,,,
6829,24,DET,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,0.0,0.0,0.0,0.0,GreeCh01,DB,65.0,186.0,0.35,,,,,,,,,,,,,,,,,
6830,24,2TM,7,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14,10.0,4.0,2.0,1.0,0.0,GuyxWi00,DB,234.0,308.0,0.76,,,,,,,,,,,,,,,,,
6831,24,DET,9,2,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6.0,3.0,2.0,2.0,0.0,GreeJo03,DB,149.0,621.0,0.24,,,,,,,,,,,,,,,,,
6832,24,BUF,15,14,1,26.0,0.0,26.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,76,51.0,25.0,2.0,0.0,0.0,WillAa00,DB,902.0,1013.0,0.89,,,,,,,,,,,,,,,,,
6833,24,SDG,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,WrigSh00,DB,,,,,,,,,,,,,,,,,,,,
6834,24,NWE,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,WillMa01,DB,,,,,,,,,,,,,,,,,,,,
6835,24,PHI,10,10,3,72.0,0.0,34.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,32,28.0,4.0,1.0,0.0,0.0,ShepLi99,DB,,,,,,,,,,,,,,,,,,,,
6836,24,PHI,16,7,3,14.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,58,48.0,10.0,6.0,0.0,0.0,DougRa00,DB,,,,76.0,53.0,69.7,678.0,12.8,8.9,4.0,98.5,11.0,439.0,239.0,0.0,0.0,0.0,0.0,3.0,4.9
6837,24,CHI,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,PaynKe99,DB,,,,,,,,,,,,,,,,,,,,
6838,24,JAX,15,15,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,114,80.0,34.0,5.0,0.0,0.0,CyprJo00,DB,985.0,1037.0,0.95,,,,,,,,,,,,,,,,,
