player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
EvanCh02,RB,6,0,8,8,104,13.0,1,1.3,17.3,13.0,4,18,0,4.5,3.0,-1.0475218947387819,4.40916730071608,-1.2984045135289561,1
EvanDa02,RB,6,0,6,4,38,9.5,1,1.2,8.2,6.15,16,61,0,3.7,8.9,-1.927793441592297,1.6852059011506477,-0.3432256306616179,1
EwinBr00,RB,2,2,2,2,29,14.5,0,1.0,14.5,14.5,0,0,0,0.0,0.0,-1.7232289236813334,4.171286763935637,-0.8353096507277382,1
FasoCi00,RB,18,0,5,3,19,3.15,0,0.3,1.9,1.9,50,161,5,3.7,12.3,-2.7465359739900093,-1.1206911799237647,0.1521399530611973,2
FeltDe00,RB,7,0,12,11,111,10.1,1,1.6,15.9,9.3,2,13,0,6.5,1.9,-1.117210250324034,3.3399237283317578,-0.9515118025863738,1
FiamTo00,RB,51,24,24,12,130,6.82,0,0.2,1.98,4.14,11,26,0,0.82,0.4,-2.49690873764835,-0.6209010805403584,0.36517509452887426,2
FlemTr00,RB,29,2,43,29,233,7.75,3,1.0,7.800000000000001,5.25,7,40,0,2.85,1.25,-1.8171719986152346,0.8303484319806738,0.5189507980628281,1
ForeDO00,RB,18,1,11,9,116,8.2,2,0.7000000000000001,9.275,7.35,112,450,2,3.55,19.125,-1.6096528147476454,1.452972667305589,-0.5577027378900261,1
ForsBr00,RB,16,2,5,3,37,6.15,0,0.15,2.05,3.7,69,244,2,3.3,14.399999999999999,-2.560536767756686,-0.22581036137760715,-0.32294285706979436,2
ForsJu00,RB,125,40,304,221,1387,5.839999999999999,1,1.9799999999999998,11.030000000000001,4.140000000000001,851,3988,19,4.0200000000000005,31.549999999999994,2.3860731175893846,-0.9376968701681139,0.2779351536392703,3
FortMa00,RB,146,137,724,554,4672,8.510000000000002,21,3.75,31.759999999999998,6.460000000000001,2356,9796,54,4.130000000000001,66.59,11.279919220948193,-0.8557103225979292,2.323790896210163,0
FostDe00,RB,79,42,195,142,1129,7.983333333333333,5,1.8999999999999997,14.950000000000001,6.1000000000000005,927,3570,11,3.8333333333333335,47.75,2.1289405125992937,0.4336143204230682,-0.21621862919611712,3
FourLe00,RB,57,46,260,200,1481,7.640000000000001,2,3.46,25.78,5.9399999999999995,864,3437,27,3.9200000000000004,58.959999999999994,3.2918673823824784,1.070189730736991,0.28190761786009505,3
FranJo01,RB,11,0,5,4,30,7.5,0,0.4,2.7,6.0,19,107,1,5.6,9.7,-2.1857324492739685,1.062496918054212,-1.0668171225480705,1
FreeDe00,RB,90,66,349,275,2159,7.549999999999999,12,2.7875,20.9125,5.7875,1048,4367,35,4.2375,44.7875,4.783338998868872,0.1889699776960214,1.130204858860376,3
FreeRo00,RB,54,8,89,72,424,5.725,1,1.225,7.025,4.35,318,1264,8,4.1,22.099999999999998,-0.7491477539768436,-0.041233360522811506,-0.0727678384830807,1
FunkJa00,RB,6,0,0,0,0,0.0,0,0.0,0.0,0.0,1,6,0,6.0,1.0,-3.227308546955866,-1.8322727686376916,0.2846593841036176,2
GainKe00,RB,6,0,23,15,123,8.2,0,2.5,20.5,5.3,21,100,2,4.8,16.7,-1.0636708404475552,2.220087698943275,0.18283478504974313,1
GallWa00,RB,56,14,113,80,498,5.360000000000001,2,1.2,7.7,3.8,346,1477,9,4.06,23.16,-0.495084648354481,-0.312261558375208,0.13030266629190523,1
GantQu00,RB,39,6,21,17,151,3.783333333333333,0,0.3,2.75,3.35,80,280,3,2.0,5.233333333333333,-2.578513096989141,-1.04229666170141,0.4909083785929874,2
GaskMy00,RB,27,14,107,86,641,7.366666666666667,5,2.9666666666666663,22.099999999999998,5.6000000000000005,278,1061,5,3.733333333333333,37.26666666666667,0.5951137897970592,1.7724962147428196,0.9132440649743075,1
GerhTo00,RB,82,14,132,100,809,7.983333333333334,3,1.1333333333333335,9.266666666666666,5.883333333333333,397,1675,7,4.266666666666667,19.183333333333334,0.21325495426079233,0.5880526139399181,-0.1268963737937153,1
GibsAn00,RB,22,17,65,53,391,7.7,1,2.35,17.8,6.25,281,1237,14,4.35,56.05,0.29196371962574874,1.6197002207412992,-0.6234771119354844,1
GillCu00,RB,7,0,1,1,6,6.0,0,0.1,0.9,6.0,0,0,0,0.0,0.0,-3.233814028485151,-0.16524029002269236,0.4197732837137495,2
GillMi00,RB,36,4,20,17,103,6.88,1,0.44000000000000006,2.6199999999999997,6.5200000000000005,274,1291,16,4.26,30.46,-1.2677464625908228,0.38895077098954917,-1.3346975365856144,1
GoodMi00,RB,42,3,81,61,543,8.2,1,1.0799999999999998,9.62,6.539999999999999,167,783,3,4.32,16.66,-0.8343452214097681,1.258433493360288,-0.3206360104646195,1
GordLa00,RB,41,15,87,62,490,5.92,2,1.64,11.52,4.0600000000000005,226,774,3,2.98,16.72,-0.8553439199058737,0.21084231595319738,0.7312368002116783,1
GordMe00,RB,91,81,366,276,2194,7.728571428571429,14,3.0285714285714285,24.25714285714286,5.928571428571429,1383,5703,49,4.171428571428572,62.15714285714285,5.984849074526744,-0.02599078813218196,0.7200076063686852,0
GoreFr00,RB,241,218,697,484,3985,8.275,18,2.06875,17.08125,5.762499999999999,3735,16000,81,4.262499999999999,66.4125,12.846516071615584,-4.395381723315797,-1.0786814041574764,0
GrayCy00,RB,35,0,13,9,64,5.2,0,0.20000000000000004,1.5666666666666667,3.533333333333333,24,99,1,4.3,3.1,-2.54392975528648,-0.3450967288959225,-0.20086376794853913,2
GreeAl00,RB,29,4,33,21,139,5.633333333333333,0,0.6666666666666666,4.166666666666667,4.733333333333333,149,510,0,3.4333333333333336,14.733333333333334,-2.032655888581242,0.040782708376320316,-0.17271545277893194,1
GreeMi00,RB,32,3,24,19,121,4.466666666666666,2,0.43333333333333335,2.6,3.5333333333333337,36,142,1,2.6999999999999997,3.0333333333333337,-2.470396914272264,-0.615553058203947,0.5511455532860932,2
GreeSh00,RB,85,36,111,72,534,6.983333333333333,0,0.7999999999999999,5.8500000000000005,4.05,993,4110,24,4.2,46.5,0.8337400892101617,-1.0256128585519004,-1.6123163045093654,3
GreeWi01,RB,46,30,71,45,277,6.025,0,0.975,5.8999999999999995,3.8500000000000005,568,2109,9,3.775,46.025000000000006,-0.4582169611311368,-0.5254180173558001,-0.9332167262103426,1
GricMa00,RB,10,0,11,7,29,4.1,0,0.7,2.9,2.6,15,41,1,2.7,4.1,-2.851729832531261,-0.6843917114737255,0.5636453250454123,2
GrifQu00,RB,16,5,25,18,129,7.199999999999999,1,1.25,8.7,5.2,179,656,2,3.7,43.15,-1.2735367695101467,0.8689936329541381,-0.5654928093253232,1
GuicDe00,RB,5,1,9,7,79,11.3,1,1.4,15.8,8.8,42,245,2,5.8,49.0,-0.6246226409984996,3.2727449040152177,-1.6911801920868945,1
GurlTo01,RB,88,87,336,243,2254,8.666666666666666,12,2.766666666666666,25.58333333333334,6.333333333333333,1460,6082,67,4.15,69.85000000000001,6.236072875080318,-0.06128876481958932,-0.16448657422503798,0
HardMo00,RB,23,5,26,16,138,8.35,0,0.7999999999999999,6.699999999999999,4.5,153,537,1,3.6,23.700000000000003,-1.7088628563903785,0.6795179514705677,-0.5184769287449666,1
HarpJa01,RB,23,0,7,5,40,8.0,0,0.2,1.65,6.65,36,74,4,2.1,3.2,-2.5465025645589194,0.5920171514216996,-0.4079678500913233,1
HarrDa06,RB,21,19,20,16,115,5.366666666666667,0,0.5666666666666667,4.066666666666666,4.066666666666666,274,1250,9,4.033333333333333,45.29999999999999,-1.3761362357794409,-0.349023850362127,-1.0280630080319655,1
HarrJe00,RB,71,11,108,78,533,6.628571428571428,3,0.9571428571428571,6.257142857142857,5.214285714285714,396,1920,8,4.9,24.214285714285715,-0.16569568857221126,0.16882990401271503,-0.44795237428082113,1
HarrNa00,RB,6,6,46,34,244,7.2,2,5.7,40.7,5.3,102,388,2,3.8,64.7,1.102535678889126,3.5344494243215467,1.4422293735684977,3
HartMi00,RB,21,1,15,12,97,11.0,0,0.5666666666666668,4.3999999999999995,9.666666666666666,71,264,2,3.8333333333333335,12.0,-1.694838391140107,2.308269990195541,-1.4039232795442962,1
HaviSt00,RB,28,10,33,25,171,6.6,1,0.95,6.3500000000000005,4.85,13,29,1,2.35,1.0,-2.1033625028734475,0.2990774087034646,0.47523710514372125,1
HaynVe00,RB,68,2,85,61,449,7.657142857142857,2,1.0,7.571428571428571,5.028571428571428,174,738,3,3.1571428571428575,8.642857142857142,-1.0584671046873284,0.4335311292481194,0.2821101987397128,1
HeluRo00,RB,57,5,171,138,1227,8.38,4,2.3,19.68,6.720000000000001,272,1171,7,3.46,16.04,0.7865610185160018,1.7111277308245187,1.0994659453111424,3
HendDa00,RB,36,19,58,39,340,8.933333333333335,3,1.2666666666666666,10.466666666666667,5.966666666666666,298,1333,10,4.3,41.06666666666667,-0.20908025172568617,1.1559692117886848,-0.8451385612318432,1
HendDe01,RB,8,0,2,2,36,9.0,1,0.2,3.6,9.0,9,32,0,5.7,4.45,-2.024674891304579,2.0642356330546843,-1.4506120458506426,1
HenrCh01,RB,11,0,7,6,53,2.2,0,0.225,1.9,1.9,32,122,2,1.7,5.0,-3.2050445034256096,-1.5512010131574776,0.8792269078446633,2
HenrDe00,RB,86,55,125,94,846,9.25,3,1.2,10.65,7.100000000000001,1401,6797,65,4.733333333333333,81.98333333333333,3.485403009239195,-0.44624040304862317,-3.2222158807779016,3
HenrLe20,RB,6,2,6,3,12,4.0,0,0.5,2.0,2.0,46,141,0,3.1,23.5,-2.717315147255183,-0.8593000546346746,0.14928503336457213,2
HenrTr00,RB,90,69,199,141,951,6.857142857142857,2,1.5,10.114285714285714,4.6571428571428575,1488,6086,38,3.9714285714285715,63.800000000000004,2.9985720728376077,-1.3624953560888629,-1.7017180974227992,3
HerbKh00,RB,6,1,3,2,15,7.5,0,0.3,2.5,5.0,40,179,1,4.5,29.8,-2.1805347809787183,0.6545357923574012,-1.0451681093179856,1
HerrDa00,RB,41,3,45,37,304,14.98,0,0.6799999999999999,5.9,14.460000000000003,126,510,1,3.7199999999999998,8.8,-0.8147740391793538,4.063982653521484,-2.138138198017591,1
HerrNo00,RB,25,0,35,29,211,2.433333333333333,2,0.6,4.3999999999999995,2.0,88,275,3,2.4666666666666663,9.333333333333334,-2.4332495669440757,-1.2698304393487079,1.030804940092324,2
HighTi00,RB,77,45,226,162,1208,8.0,2,2.0333333333333337,15.716666666666667,6.016666666666667,752,2977,32,3.9333333333333336,42.28333333333333,2.2720163794030137,0.3178763017005166,-0.39803119010395704,3
HillBr02,RB,51,3,50,40,349,11.98,1,0.62,6.040000000000001,10.4,220,1019,3,4.7,16.64,-0.6988225167990614,2.5762855612301534,-1.6947795538046178,1
HillJe01,RB,55,43,83,68,490,6.32,1,1.1199999999999999,7.639999999999999,5.46,708,2898,29,4.38,43.480000000000004,0.6183808905028797,-0.37946811988574053,-1.4098443427871716,3
HillJu00,RB,28,0,20,13,90,6.4,0,0.45,3.0500000000000003,4.35,70,285,2,4.45,9.55,-2.1899837292977855,0.20638585229806355,-0.45890952356189935,1
HillKy00,RB,6,0,1,1,5,5.0,0,0.2,0.8,5.0,7,22,0,3.1,3.7,-2.9199073990038658,-0.09512504078082046,-0.11831525908958185,2
HillLe00,RB,74,22,47,34,256,6.459999999999999,2,0.45999999999999996,3.34,4.32,56,194,2,2.82,2.6399999999999997,-1.673489546915606,-0.3619281159648747,0.21863010035671177,2
HillRo00,RB,59,16,118,77,574,9.550000000000002,1,1.3166666666666667,11.483333333333334,5.583333333333333,517,2057,12,3.8166666666666664,32.833333333333336,0.24871206463130868,0.85157916588306,-0.6897182705663512,1
HineNy00,RB,57,9,250,194,1414,7.375,6,3.325,24.375,5.575,267,1084,9,4.125,19.25,1.7520188300864186,1.7668370309419548,1.990807418310612,3
HomeTr00,RB,33,1,31,28,251,9.4,1,0.9,8.866666666666667,8.8,52,262,0,5.5,8.133333333333333,-1.2324861314547806,2.2959725196730436,-1.0289907054852678,1
HousCe00,RB,20,5,18,15,109,7.2,0,0.8,5.45,6.0,194,676,7,3.5,36.0,-1.5270428916362535,0.6729127372957404,-0.9120910722370896,1
