player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,def_targets,def_cmp,Component_1,Component_2,Component_3,kmeans_pca_cluster
GreeT.00,S,41,12,0,0.0,4.0,0.0,0.0,105,75.0,30.0,5.0,5.0,26.0,19.0,-1.3279001243552195,0.050947432492133904,0.6657291058422717,0
GrifCe20,DB,89,72,8,0.0,55.0,15.0,0.0,412,352.0,60.0,12.0,0.0,0.0,0.0,2.595680331930367,-1.1891288805349485,-0.9644132425506241,3
GrifMi99,DB,154,139,25,1.0,60.0,11.0,7.0,813,605.0,208.0,28.0,20.0,0.0,0.0,8.39546036735014,-2.2048229943016406,1.9831351407637416,1
GrifSh00,DB,65,61,6,0.0,52.0,1.0,1.0,281,227.0,54.0,9.0,1.0,298.0,187.0,1.629756322773011,5.196875540643705,-0.05131668069064161,2
GrimCo99,DB,23,12,2,1.0,3.0,1.0,0.0,73,56.0,17.0,0.0,0.0,0.0,0.0,-1.783043331498396,-0.4404095679604374,-0.4513188989443105,0
GrocDe20,DB,54,20,3,0.0,17.0,2.0,0.0,125,116.0,9.0,7.0,0.0,0.0,0.0,-1.0709864352555438,-0.5562758205807184,-0.2718547932552684,0
GuyxWi00,DB,41,8,0,0.0,3.0,1.0,3.0,67,49.0,18.0,4.0,3.0,0.0,0.0,-1.4292810772998572,-0.5977720681730768,0.9334151463701049,0
HadeJo99,DB,153,144,29,2.0,153.0,7.0,3.0,600,492.0,108.0,14.0,6.0,297.0,155.0,7.441858875994554,3.8903860330368887,-2.1768148836630576,1
HaggEr00,DB,22,4,0,0.0,2.0,0.0,0.0,33,30.0,3.0,0.0,2.0,0.0,0.0,-2.3327818619658034,-0.3527531638719973,0.16990210989787535,0
HairNa00,DB,54,17,2,0.0,12.0,0.0,2.0,102,83.0,19.0,6.0,4.0,77.0,55.0,-0.7693957848765033,1.0260829308607977,0.7759585356440816,0
HallBr02,DB,16,15,1,0.0,11.0,0.0,0.5,70,59.0,11.0,3.0,2.0,99.0,67.0,-1.5066392733797913,1.6301051922494776,0.3574420920705257,0
HallDa03,DB,2,0,0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,2.0,2.0,-2.723313387966601,-0.22923853679613754,0.047723392376461865,0
HallDe02,DB,23,0,1,0.0,3.0,0.0,0.0,13,10.0,3.0,0.0,1.0,0.0,0.0,-2.431773601747314,-0.3387830149811166,0.025286992264070454,0
HallDe99,DB,178,162,45,5.0,149.0,11.0,2.0,839,658.0,181.0,24.0,3.0,0.0,0.0,9.666521054179118,-2.028123800532254,-4.2555204871105,1
HallLe98,DB,152,112,27,3.0,118.0,6.0,2.0,544,425.0,119.0,14.0,8.0,20.0,16.0,5.950954369840989,-1.0255407379209571,-2.160435668772961,1
HalxAn00,DB,69,40,12,1.0,31.0,2.0,1.0,189,130.0,59.0,6.0,2.0,11.0,7.0,0.49443179555095873,-0.546877350857742,-0.6737027749633093,3
HamiMa99,DB,11,0,0,0.0,4.0,0.0,0.0,8,7.0,1.0,0.0,0.0,0.0,0.0,-2.6127037617910776,-0.29567370038567514,-0.02252003876894883,0
HamlKe20,DB,114,96,16,0.0,51.0,5.0,5.0,494,379.0,115.0,4.0,4.0,0.0,0.0,3.311279254937107,-1.238561277869259,-0.028368717174040898,3
HamlMi99,DB,16,0,0,0.0,0.0,0.0,0.0,16,16.0,0.0,0.0,0.0,0.0,0.0,-2.5925643746548435,-0.3136771321826453,0.0017784364790185275,0
HampSa00,S,6,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,-2.66668779709277,-0.2337397223311005,0.06782372868527398,0
HandHa00,DB,18,1,1,0.0,3.0,0.0,0.0,21,18.0,3.0,0.0,0.0,20.0,11.0,-2.41431097715964,0.046745831336648086,-0.04713907929518804,0
HargVe00,DB,74,66,5,2.0,35.0,2.0,0.0,325,280.0,45.0,6.0,0.0,310.0,216.0,1.988799695266831,5.6880502236844395,-0.9021193610582181,2
HarmDu00,DB,135,53,19,0.0,35.0,1.0,0.0,276,212.0,64.0,3.0,8.0,92.0,61.0,1.7344297208549895,0.9654610113293828,-0.4440152646584866,3
HarpRo21,DB,156,140,11,2.0,67.0,16.0,18.0,820,641.0,179.0,40.0,43.0,0.0,0.0,10.999551806743803,-3.0443131042204223,6.923628326745852,1
HarrAn21,DB,52,2,1,0.0,3.0,0.0,1.0,52,37.0,15.0,1.0,0.0,0.0,0.0,-1.9490509183778753,-0.4552301481932896,0.08788029923418104,0
HarrBr00,DB,42,0,0,0.0,10.0,0.0,0.0,48,38.0,10.0,0.0,0.0,0.0,0.0,-2.1668098135039915,-0.37162834955925156,-0.14981928051895035,0
HarrBr99,DB,15,6,0,0.0,1.0,0.0,0.0,33,24.0,9.0,1.0,1.0,0.0,0.0,-2.35654723297268,-0.3410255509044456,0.14074145383519363,0
HarrCa99,DB,6,1,2,0.0,2.0,1.0,0.0,6,5.0,1.0,0.0,0.0,0.0,0.0,-2.510656683238997,-0.3280884067966344,-0.07959139191228294,0
HarrCh20,DB,109,93,17,0.0,39.0,15.0,1.0,460,370.0,90.0,13.0,3.0,0.0,0.0,3.6525373417684026,-1.412652795348053,-0.6531699347620482,3
HarrDa05,DB,34,9,0,0.0,5.0,2.0,0.0,60,53.0,7.0,0.0,0.0,84.0,50.0,-1.739060962871936,1.1919178384118523,-0.02063873836345123,0
HarrJe02,DB,7,0,0,0.0,0.0,0.0,0.0,6,4.0,2.0,0.0,0.0,0.0,0.0,-2.6788303558635302,-0.2922869771734982,0.03680966700437828,0
HarrLl20,DB,16,1,0,0.0,1.0,0.0,1.0,19,17.0,2.0,1.0,0.0,0.0,0.0,-2.4279542426157086,-0.36155700009859276,0.21472738836747357,0
HarrMa03,S,45,16,0,0.0,8.0,5.0,1.0,130,84.0,46.0,6.0,2.0,55.0,37.0,-0.5899830408492984,0.4393005788339194,0.561694099039757,0
HarrMi00,DB,36,9,2,0.0,9.0,0.0,2.0,113,102.0,11.0,5.0,2.0,0.0,0.0,-1.374462528006701,-0.5463149395208894,0.5002732916664633,0
HarrRo02,S,48,38,4,1.0,21.0,0.0,5.0,173,112.0,61.0,7.0,4.0,94.0,59.0,0.5145471918871859,1.0480648351487853,0.9745178337848328,2
HarrTi01,DB,3,0,0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,-2.7242282019994826,-0.2822689095526765,0.04515855542200868,0
HarrVi99,DB,18,9,0,0.0,3.0,0.0,0.0,44,41.0,3.0,3.0,0.0,0.0,0.0,-2.2581072495738255,-0.353415410063914,0.030036793535917358,0
HarrWi02,S,40,19,0,0.0,4.0,0.0,1.0,115,82.0,33.0,1.0,1.0,68.0,44.0,-1.3387876093699562,0.8882744929680582,0.3496138192627033,0
HartSh20,DB,51,17,2,1.0,7.0,1.0,2.0,171,146.0,25.0,6.0,0.0,0.0,0.0,-0.7321973966845975,-0.6693112631956373,-0.016655546959005747,0
HarvJo01,S,35,0,0,0.0,4.0,0.0,1.5,41,29.0,12.0,2.0,3.0,24.0,14.0,-1.8576204341398987,-0.009791363764281514,0.6404189019245871,0
HawkJa00,S,20,3,2,0.0,3.0,0.0,0.5,21,13.0,8.0,0.0,1.0,17.0,10.0,-2.240290006882476,-0.03951479180663962,0.11553804325787004,0
HawkMi21,DB,18,1,0,0.0,2.0,0.0,0.0,15,13.0,2.0,0.0,0.0,0.0,0.0,-2.547446106158754,-0.31518339020473307,-0.02155659385171853,0
HawtMi20,DB,63,19,4,0.0,17.0,2.0,1.0,177,138.0,39.0,2.0,0.0,0.0,0.0,-0.7452920023366842,-0.6184706600891695,-0.19557985441156384,0
HaydDJ00,DB,91,41,4,0.0,46.0,4.0,4.5,328,282.0,46.0,15.0,9.0,115.0,84.0,2.2404974923034815,1.352785649037989,1.5070391658953552,2
HaydKe20,DB,101,49,12,3.0,46.0,4.0,0.0,363,285.0,78.0,7.0,0.0,0.0,0.0,2.0141164887924234,-0.9951146630859711,-1.9638493166110789,3
HaywCa00,DB,137,103,23,2.0,104.0,2.0,0.0,404,341.0,63.0,12.0,3.0,215.0,115.0,4.298953020065233,2.886561317880105,-2.3478408144045835,2
HendCJ00,DB,15,12,1,0.0,6.0,1.0,0.0,61,48.0,13.0,2.0,0.0,73.0,49.0,-1.7923429080531517,1.1086427218473711,0.05320907205516357,0
HendJa20,DB,32,1,1,0.0,2.0,0.0,0.0,59,41.0,18.0,1.0,0.0,0.0,0.0,-2.1501673537605264,-0.3856266903114648,-0.02035638340392582,0
HenrAn20,DB,132,96,31,3.0,109.0,5.0,2.0,512,429.0,83.0,6.0,2.0,0.0,0.0,4.748239066244024,-1.2897510798446772,-3.156247815083375,3
HestDe99,DB,147,34,0,0.0,0.0,1.0,0.0,12,12.0,0.0,0.0,0.0,0.0,0.0,-1.3988288165328533,-0.5802164122087086,-0.4953838461990149,0
HillDe02,S,42,6,0,0.0,1.0,0.0,0.0,64,41.0,23.0,3.0,2.0,26.0,14.0,-1.804317900981033,0.037074318568242455,0.3104208234488864,0
HillRe20,DB,141,114,19,1.0,61.0,5.0,6.5,607,497.0,110.0,25.0,2.0,0.0,0.0,5.219412253523634,-1.5981455885991882,-0.05002444975245275,1
HillRe21,DB,48,26,6,1.0,16.0,1.0,0.0,133,99.0,34.0,5.0,7.0,0.0,0.0,-0.43473415391294695,-0.6442387519047417,0.069731827038699,0
HillTy20,DB,40,25,5,1.0,17.0,1.0,0.0,121,117.0,4.0,2.0,1.0,0.0,0.0,-1.0964824529983077,-0.5193311755617861,-0.7145003604673145,0
HineJe00,DB,15,0,0,0.0,0.0,0.0,0.0,9,4.0,5.0,0.0,0.0,0.0,0.0,-2.601557012323282,-0.3099874705127668,0.024803308131842894,0
HobbEl20,DB,79,56,10,0.0,45.0,1.0,2.5,228,185.0,43.0,6.0,2.0,0.0,0.0,0.6273562596368454,-0.758876428855943,-0.296682618368549,3
HobbNa00,DB,6,4,0,0.0,1.0,0.0,0.0,31,20.0,11.0,0.0,0.0,30.0,27.0,-2.3938794884619354,0.41606908749232735,0.09535957590142893,0
HogaBr00,DB,3,0,0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,-2.720606021520137,-0.2828159206747898,0.04497621987850774,0
HollDa22,DB,32,18,5,1.0,18.0,1.0,0.0,108,100.0,8.0,3.0,0.0,0.0,0.0,-1.2349698463954186,-0.4962912313525977,-0.7365355250116876,0
HollJe02,S,6,3,0,0.0,1.0,0.0,0.0,21,15.0,6.0,0.0,2.0,9.0,7.0,-2.4520306868017796,-0.11972460270551183,0.2573159445578017,0
HollKa00,DB,18,1,0,0.0,3.0,0.0,0.0,10,7.0,3.0,0.0,0.0,17.0,7.0,-2.50589219659601,-0.03406522188589289,-0.009997251997207543,0
HolmDa01,DB,21,8,1,0.0,6.0,0.0,0.5,52,39.0,13.0,0.0,3.0,72.0,51.0,-1.7767361187533721,1.118765497206797,0.41278558212159033,0
HolmRa20,DB,46,1,2,0.0,5.0,0.0,0.0,102,89.0,13.0,1.0,0.0,0.0,0.0,-1.8609397229443032,-0.43561914297011617,-0.1618283795414802,0
HolsJo01,DB,13,0,0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,4.0,3.0,-2.641461568562781,-0.21476188588962838,0.018526025244758177,0
