player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,Component_1,Component_2,kmeans_pca_cluster
BrowJa05,LB,56,23,0,0.0,12.0,3.0,4.5,265,187.0,78.0,14.0,7.0,-0.2948725930679243,-0.11341244124641008,0
BrowJa06,LB,60,35,3,1.0,26.0,4.0,9.5,346,229.0,117.0,17.0,18.0,1.2987820038101994,-0.5440096282033879,1
BrowPr00,LB,82,77,5,1.0,14.0,3.0,1.0,610,351.0,259.0,21.0,12.0,2.4897903779873025,-1.8324166858891282,1
BrowZa00,LB,100,80,7,2.0,22.0,6.0,17.5,664,462.0,202.0,59.0,32.0,4.467864654328045,-0.8606377938422487,2
BrunTJ00,LB,5,0,0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0,-2.457189142016558,0.0796225154766365,0
BuaxTo20,LB,7,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,-2.4515982391990767,0.08452160442521857,0
BullCo20,LB,20,1,0,0.0,0.0,0.0,0.0,10,10.0,0.0,0.0,0.0,-2.3333574395140966,0.063426389458741,0
BullKe00,LB,170,138,21,1.0,72.0,15.0,18.0,1109,811.0,298.0,61.0,6.0,9.138651340373407,-3.6372827745102883,2
BurgPr99,LB,40,0,0,0.0,1.0,0.0,0.0,38,32.0,6.0,0.0,0.0,-2.097999005438958,-0.016121341518336565,0
BurkOr00,LB,51,6,0,0.0,0.0,2.0,0.5,78,54.0,24.0,2.0,2.0,-1.6782801720799898,0.081886641153286,0
BurnKe20,LB,136,75,5,3.0,25.0,8.0,20.0,632,495.0,137.0,51.0,34.0,4.749191399437515,-0.5745983644386592,2
BurrBe00,LB,32,0,0,0.0,0.0,1.0,0.0,16,10.0,6.0,1.0,0.0,-2.1588262978065815,0.10899091536858488,0
BurrMi00,LB,38,31,1,0.0,4.0,0.0,1.5,209,141.0,68.0,9.0,9.0,-0.8995654778935294,-0.2869933537079171,0
BushDe01,LB,28,27,2,0.0,8.0,2.0,4.0,168,108.0,60.0,11.0,8.0,-0.7703828620553226,-0.1283465751917307,0
ButlDo99,LB,85,67,3,1.0,12.0,5.0,7.0,402,285.0,117.0,29.0,12.0,1.683169908715919,-0.5652295122235689,1
ButlVi99,LB,65,2,0,0.0,4.0,4.0,11.0,91,70.0,21.0,10.0,17.0,-0.9655258392250472,0.8968105819473811,0
CalmRo20,LB,27,12,2,0.0,2.0,0.0,1.0,89,68.0,21.0,8.0,0.0,-1.6056748661061149,-0.25137756261594496,0
CampDe00,LB,84,79,5,0.0,22.0,8.0,8.5,545,357.0,188.0,28.0,15.0,2.59680614591302,-0.7589634691074604,1
CannAn20,LB,32,0,0,0.0,0.0,0.0,0.0,23,17.0,6.0,0.0,0.0,-2.214208538350441,0.02650476453018509,0
CardTa00,LB,78,2,0,0.0,1.0,0.0,0.0,53,38.0,15.0,0.0,0.0,-1.773062511541009,-0.07100889026250125,0
CarpBo20,LB,98,12,1,1.0,5.0,0.0,3.5,180,135.0,45.0,8.0,9.0,-0.4103777539617359,-0.37235925278878607,0
CartBr00,LB,101,36,5,1.0,17.0,0.0,5.0,332,234.0,98.0,24.0,14.0,1.204471487144445,-1.022420519284286,1
CartCh00,LB,80,4,0,0.0,1.0,0.0,0.0,46,29.0,17.0,3.0,2.0,-1.7036628438080426,0.0018468365138087223,0
CartJe00,LB,57,22,0,0.0,2.0,0.0,0.5,134,70.0,64.0,6.0,4.0,-1.2897268900365821,-0.17822509868906403,0
CashBl00,LB,14,7,0,0.0,1.0,0.0,0.5,49,34.0,15.0,3.0,3.0,-2.092506980894649,0.05402836662043993,0
CaveQu20,LB,58,4,0,0.0,2.0,0.0,0.0,70,57.0,13.0,2.0,0.0,-1.7979219102308241,-0.09204155493178516,0
ChamFr20,LB,57,3,0,0.0,2.0,1.0,1.0,55,40.0,15.0,1.0,0.0,-1.7841695046925325,0.02418415999863083,0
ChanJa98,LB,54,23,3,0.0,10.0,1.0,1.0,163,122.0,41.0,9.0,1.0,-0.7523764680128716,-0.5469973664806496,0
ChilBr20,LB,97,53,1,0.0,15.0,6.0,8.5,351,299.0,52.0,30.0,23.0,1.1458240731044935,0.3889923954538092,1
ChukPa20,LB,78,5,0,0.0,3.0,4.0,9.0,83,62.0,21.0,10.0,8.0,-1.0130916368405982,0.6593584555445788,0
CichJa00,LB,16,0,0,0.0,0.0,0.0,0.0,7,4.0,3.0,0.0,0.0,-2.369800367266045,0.06582542932022346,0
ClarDa21,LB,168,102,2,0.0,20.0,9.0,7.0,689,514.0,175.0,49.0,6.0,3.63101812824235,-0.7366634286669997,1
ClayKe99,LB,36,1,0,0.0,3.0,0.0,0.0,48,38.0,10.0,1.0,0.0,-2.0239459250895684,-0.05798782246255024,0
ColeAu00,LB,57,7,0,0.0,2.0,0.0,1.0,86,59.0,27.0,3.0,5.0,-1.63537116757306,0.0002761287796361339,0
CollJa00,LB,122,102,13,1.0,38.0,19.0,27.5,700,454.0,246.0,65.0,55.0,6.7596937652355145,0.10440221086859713,2
CollZa00,LB,6,4,0,0.0,2.0,0.0,0.0,13,8.0,5.0,1.0,0.0,-2.326885064053215,0.03418207943025067,0
ConnDa99,LB,63,27,0,0.0,2.0,1.0,1.0,218,148.0,70.0,14.0,3.0,-0.8012484554236192,-0.22781142249615158,0
ConnKa99,LB,78,46,0,0.0,9.0,3.0,2.0,328,208.0,120.0,17.0,3.0,0.1838069978414101,-0.43905536269399875,1
ConnRy00,LB,26,3,2,0.0,2.0,0.0,1.0,29,18.0,11.0,2.0,1.0,-1.9376607462463675,-0.14252495249681624,0
CoopMa21,LB,45,0,0,0.0,0.0,0.0,0.0,38,36.0,2.0,0.0,0.0,-2.0950610555058544,0.0016239861607579703,0
CordJo20,LB,19,0,0,0.0,1.0,0.0,0.0,10,7.0,3.0,0.0,0.0,-2.3198009178462717,0.04704229168832412,0
CougCa00,LB,21,2,0,0.0,0.0,0.0,1.0,23,15.0,8.0,2.0,2.0,-2.2069113041219195,0.11878253304088202,0
CoviCh01,LB,8,0,0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,-2.4394679966128416,0.08050334404178987,0
CrabSh99,LB,6,0,0,0.0,0.0,0.0,0.5,4,2.0,2.0,0.0,1.0,-2.4287254494072292,0.11489307688951485,0
