playerId,year,school_name,conf_abbr,class,pos,g,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td
dion-sims-1,2012,Michigan State,Big Ten,JR,TE,12.0,,,,,36.0,475.0,13.2,2.0,36,475,13.2,2
reggie-sims-1,1981,Northern Illinois,MAC,,TE,11.0,,,,,,,,,0,0,,0
reggie-sims-1,1982,Northern Illinois,MAC,,TE,10.0,,,,,6.0,94.0,15.7,0.0,6,94,15.7,0
reggie-sims-1,1983,Northern Illinois,MAC,,TE,11.0,,,,,27.0,279.0,10.3,1.0,27,279,10.3,1
reggie-sims-1,1984,Northern Illinois,MAC,,TE,11.0,,,,,39.0,475.0,12.2,1.0,39,475,12.2,1
kaseem-sinceno-1,1995,Syracuse,Big East,,TE,11.0,,,,,6.0,52.0,8.7,1.0,6,52,8.7,1
kaseem-sinceno-1,1996,Syracuse,Big East,,TE,11.0,,,,,10.0,98.0,9.8,3.0,10,98,9.8,3
kaseem-sinceno-1,1997,Syracuse,Big East,,TE,12.0,,,,,6.0,61.0,10.2,3.0,6,61,10.2,3
brian-siverling-1,1983,Penn State,Ind,,TE,12.0,,,,,3.0,30.0,10.0,1.0,3,30,10.0,1
brian-siverling-1,1984,Penn State,Ind,,TE,11.0,,,,,8.0,86.0,10.8,0.0,8,86,10.8,0
brian-siverling-1,1985,Penn State,Ind,,TE,11.0,,,,,5.0,120.0,24.0,1.0,5,120,24.0,1
brian-siverling-1,1986,Penn State,Ind,,TE,11.0,,,,,21.0,279.0,13.3,0.0,21,279,13.3,0
